Anho,Ciclo,Idalumno,Cod.Car.Sec,Avandono,CantidadMaterias
2017,2,611,CGF-PLS13 ,0,7
2016,2,623,MCT-PLS13 ,0,5
2017,2,623,MCT-PLS13 ,0,4
2019,2,624,CIV-PLS13 ,1,6
2020,1,624,CIV-PLS13 ,1,7
2021,1,624,CIV-PLS13 ,1,6
2017,2,626,ELE-PLS13 ,0,5
2018,1,626,ELE-PLS13 ,0,5
2017,2,628,ELE-PLS13 ,1,4
2019,2,628,MCT-PLS13 ,1,4
2020,1,628,MCT-PLS13 ,1,4
2021,1,628,MCT-PLS13 ,0,5
2021,2,628,MCT-PLS13 ,0,4
2017,2,640,CIV-PLS13 ,0,3
2018,2,647,CIV-PLS13 ,0,4
2020,1,647,CIV-PLS13 ,0,3
2016,2,651,CIV-PLS13 ,0,8
2017,2,654,IND-PLS13 ,0,3
2016,2,656,ELE-PLS13 ,0,5
2017,2,656,ELE-PLS13 ,0,6
2016,2,661,CIV-PLS13 ,0,4
2016,2,662,CGF-PLS13 ,1,4
2018,2,663,ECA-PLS13 ,1,8
2021,2,663,ECA-PLS13 ,1,5
2017,2,667,MCT-PLS13 ,0,5
2017,2,668,CIV-PLS13 ,1,7
2018,1,668,CIV-PLS13 ,0,5
2018,2,668,CIV-PLS13 ,0,7
2018,2,670,CIV-PLS13 ,1,3
2019,2,670,CIV-PLS13 ,1,5
2020,1,670,CIV-PLS13 ,0,4
2021,1,670,CIV-PLS13 ,0,6
2021,2,670,CIV-PLS13 ,0,7
2016,2,672,CIV-PLS13 ,0,4
2016,2,675,IND-PLS13 ,0,7
2019,1,688,MEC-PLS13 ,0,8
2016,2,689,ELE-PLS13 ,1,5
2017,2,689,ELE-PLS13 ,0,4
2019,2,692,MEC-PLS13 ,0,5
2020,1,692,MEC-PLS13 ,1,4
2016,2,693,MCT-PLS13 ,0,5
2016,2,697,ELE-PLS13 ,0,5
2022,2,703,CIV-PLS13 ,1,5
2021,1,707,CGF-PLS13 ,1,7
2021,2,707,CGF-PLS13 ,1,8
2022,1,707,CIV-PLS13 ,0,4
2022,2,707,CGF-PLS13 ,1,3
2021,2,712,CGF-PLS13 ,1,4
2017,2,717,CIV-PLS13 ,1,5
2018,2,717,CIV-PLS13 ,0,7
2019,1,717,CIV-PLS13 ,0,5
2016,2,720,ELE-PLS13 ,0,5
2017,2,720,ELE-PLS13 ,0,5
2018,1,720,ECA-PLS13 ,0,7
2018,2,728,ELE-PLS13 ,0,3
2016,2,730,ELE-PLS13 ,1,5
2017,2,730,ELE-PLS13 ,1,5
2018,1,730,ELE-PLS13 ,1,7
2018,2,730,ELE-PLS13 ,0,5
2016,2,731,ELE-PLS13 ,0,5
2017,2,731,ELE-PLS13 ,0,4
2018,1,731,ELE-PLS13 ,0,8
2018,2,731,ELE-PLS13 ,0,5
